SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF;SG_PARTIDO;NM_PARTIDO;DS_SIT_TOT_TURNO;QT_VOTOS_TOTAL;VR_DESPESA_TOTAL;POPULACAO;CUSTO_POR_VOTO;CUSTO_POR_HABITANTE
130001612794;2828;MURILLO EVANDRO DE ANDRADE;MURILLO ANDRADE;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;1716;49985.88;20538718;29.129300699300696;0.002433739048367089
130001612796;2808;CRISTIANE ANDRADE COUTINHO LIMA;CRIS BAMBUÍ;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;431;2300.0;20538718;5.336426914153132;0.00011198362039928685
130001612805;2818;ANDRÉ LUÍS PEREIRA BARBOSA;PROFESSOR ANDRE LUIS;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;330;2000.0;20538718;6.0606060606060606;9.737706121677117e-05
130001612820;2848;LEVI ROBSON GUIMARÃES BRAGA;MAGO LEVI;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;133;0.0;20538718;0.0;0.0
130001612788;2845;SILENE DE JESUS GOMES DAMASCENO;SILENE DAMASCENO;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;49;1500.0;20538718;30.612244897959183;7.303279591257839e-05
130001612790;2802;MARIA JOSÉ TAVARES DA SILVA;MARIA PATRIOTA;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;165;1500.0;20538718;9.090909090909092;7.303279591257839e-05
130001612798;2840;JOSE RAIMUNDO DE SOUZA;RAIMUNDINHO DA FARMÁCIA;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;161;0.0;20538718;0.0;0.0
130001612815;2883;JOÃO FRANCISCO DE JESUS;JOÃO FRANCISCO;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;150;0.0;20538718;0.0;0.0
130001612789;2833;LUCILEA PEREIRA DE CARVALHO INÁCIO;LUCILEA PEREIRA;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;54;1500.0;20538718;27.77777777777778;7.303279591257839e-05
130001612785;2888;ROBERTA CARNEIRO FONTES DOS SANTOS;ROBERTTA CARNEIRO;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;381;4020.0;20538718;10.551181102362206;0.00019572789304571006
130001612797;2866;EDMUR CARLOS DOS SANTOS GONÇALVES;DR EDMUR;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;161;1310.01;20538718;8.13670807453416;6.37824619822912e-05
130001612802;2878;ADEMIR AFONSO RIBEIRO LEAL;CORONEL LEAL;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;5100;11350.0;20538718;2.2254901960784315;0.0005526148224051764
130001612821;2819;NEUSA MARIA DE JESUS;NEUZINHA;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;146;0.0;20538718;0.0;0.0
130001612822;2881;PAULO HENRIQUE ADRIANO;PAULO HENRIQUE;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;311;2000.0;20538718;6.430868167202572;9.737706121677117e-05
130001612807;2880;CLEBIANO GONÇALVES DE OLIVEIRA;CLEBIANO OLIVEIRA;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;230;0.0;20538718;0.0;0.0
130001727470;2806;VALESCA CÁSSIA DA SILVA PAULA;VALESCA PRTB;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;36;1500.0;20538718;41.666666666666664;7.303279591257839e-05
